type,case,txn_hash,sponsor_drain_eth,txn_cost_eth,result,user_quota,dapp_quota
secured,valid,​0x5ebb2601fe23c1edbbe4db0b61c508fd9839875dc01be3b732c331cd3f2dbd9b,​0.000147,​0.000003,Success,true,true
secured,valid,​0x1c5144aa2d1479e5268ead1f6c2319322ace3b6da5b4f842e10701b4b5e9ea54,​0.000128,​0.000003,Success,true,true
secured,valid,​0x12dba806887829a7e104e88a9294de5ba7f5f742d6f7aab2b23e14cdc373d0c6,​0.000127,​0.000002,Success,true,true
secured,valid,​0xe3457619b7c4dfb3a62056c0b6761075234c93c59155cc217402e8beb912ac77,​0.000127,​0.000003,Success,true,true
secured,valid,​0xdb743288dbed72c426cb6174841b973b85e460caae942af238176b79e1486355,​0.000127,​0.000003,Success,true,true
secured,valid,​0x3d229f758465811bc550f7518d334c3db098d3cc24ced42df20e1605dccddc98,​0.000108,​0.000002,Success,true,true
secured,valid,​0x06dbfc172793caa717d3b078814042d5cc2b39441e800fe9613b8094ed497fe5,​0.000128,​0.000003,Success,true,true
secured,valid,​0x0182bac4f840b39a0e66246e755a9f0296394e13bdfb9c8852c20205f73e628c,​0.000108,​0.000002,Success,true,true
secured,valid,​0x9e621c865eb05f77ef3412b4adfb03ef0dcd6ab19f322abf26c72b165f287b0c,​0.000108,​0.000002,Success,true,true
secured,valid,​0x66adbfc17cc0152f479bcf0887efcfa3e7a842c4928823cd99662ec17a9ff1ed,​0.000108,​0.000002,Success,true,true
secured,valid,​0x9b70ab4c46bc0562830f728a8c0d3cfb65f53f220459996d348c32e557c3dbb9,​0.000128,​0.000003,Success,true,true
secured,valid,​0x10cf6db5515bf6107000bb68070b10f4531d702022751cecf470ca9d168fe333,​0.000108,​0.000002,Success,true,true
secured,valid,​0x7c4af994244318fe46dd6f5a5a8498adf9d56ef89481df3af902d3a84b057086,​0.000128,​0.000003,Success,true,true
secured,valid,​0xfccb36ab882127c8de01d53a8f514e46837a1d0e218d23587e2bfd6d5dbb93f0,​0.000108,​0.000002,Success,true,true
secured,valid,​0xf2ea3aea55db16452494572ff642ebfb76707bf4df373aed22c9742788887ce7,​0.000108,​0.000002,Success,true,true
secured,valid,​0xf0ba5eb678203c89dfd5309dce9f939741edc41f89509ebaa19d03a973af9a2e,​0.000108,​0.000002,Success,true,true
secured,valid,​0x2e1af96b63e7bfbc584e62d44878fdd52271d1577bd1633e226860afa52da6cd,​0.000128,​0.000003,Success,true,true
secured,valid,​0x6e22840cf60487f3689a29faec4c456395356f24ab4171618c797726c76be401,​0.000108,​0.000002,Success,true,true
secured,valid,​0x3e94d3ae2d4c025e1033ade5f73e4e11864f545e9fc0e77849d1da552f219f05,​0.000108,​0.000003,Success,true,true
secured,valid,​0x515425ef475fd00a29a53577c3823dab5a026a759c2a815a305a8aa6811b9234,​0.000108,​0.000002,Success,true,true
secured,valid,​0xd206b254293d7f98e7575ac2238b52743cf5dfc4ac521c896a6677773aa99f04,​0.000109,​0.000003,Success,true,true
secured,valid,​0x46312f1f1e2756042b2bd221780465b176620108f8a3d613cf4e41343e64c8a6,​0.000128,​0.000003,Success,true,true
secured,valid,​0xac3b2b733e142a15f6e6347e72e89dacd924def9f04625e1f6abb223d7ee3a01,​0.000109,​0.000003,Success,true,true
secured,valid,​0xa4fcff7fa8092ae9389aac1f1dd585e64f44b81d589455896f0b173ae7527eb8,​0.000109,​0.000003,Success,true,true
secured,valid,​0xe46bb92774d76903a4690046d2cca393946c3a08fdfc3c66f58b05986503c1c3,​0.000109,​0.000003,Success,true,true
secured,valid,​0x9553878e27ba865dc2d8f8803019ed746955cc6ba22e3b23d868b24d16e0f7e5,​0.000109,​0.000003,Success,true,true
secured,valid,​0x4acb3410a827db6d831cf0727697c3d0deeccd4b3ce2fd00783a245382675b9a,​0.000109,​0.000003,Success,true,true
secured,valid,​0x35b59daef93b8c4554b44a9c527e596a685ea4e6e5e735ad0688aa2199b230dd,​0.000109,​0.000003,Success,true,true
secured,valid,​0xbe0463f8d45902b249ac127274320dc0feec7149f26fce1c1c9bfac7492769b1,​0.000110,​0.000003,Success,true,true
secured,valid,​0x72cc3d18949323c024be4dd714660a0c6c74a01d57046ce201884efdac0fb7ea,​0.000109,​0.000003,Success,true,true
secured,valid,​0x46dada6a5e7b9a642b8880ce0d6a1b4edd6702efcd950bca4f07b3f3f037aa5f,​0.000109,​0.000003,Success,true,true
secured,valid,​0x1d851155a73711c89332224d822e8e080e307faf03fabb9e4f06f5f599ffcf89,​0.000110,​0.000003,Success,true,true
secured,valid,​0x0d3e1b096ccb9f1c6f7ed789ea0a50f13789418cc0cccd34180a2f2b784909d2,​0.000110,​0.000003,Success,true,true
secured,valid,​0xf582caaff536b7aead87c7bf7bad3f309f079326ca5404abcf49a7f3c7014c92,​0.000110,​0.000003,Success,true,true
secured,valid,​0x6edcb56fdb5827ecd2c47db856140775ca4cc95fd803be0cc0d29640a91771c5,​0.000110,​0.000004,Success,true,true
secured,valid,​0x1e2f145f3fe8d96ed503144924576c3eb1e16e9269b65b2556fb464a6ecb4a10,​0.000110,​0.000004,Success,true,true
